City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,60.15,71,79,23.02,light rain
1,Pacific Grove,US,36.6177,-121.9166,73.24,74,0,10.36,clear sky
2,Nikolskoye,RU,59.7035,30.7861,40.91,60,12,2.66,few clouds
3,Ribeira Grande,PT,38.5167,-28.7,64.8,100,100,3.44,overcast clouds
4,Port Elizabeth,ZA,-33.918,25.5701,53.89,87,0,3.44,clear sky
5,Caravelas,BR,-17.7125,-39.2481,70.41,77,6,5.7,clear sky
6,Santa Fe,AR,-31.6333,-60.7,65.01,73,46,4.0,light rain
7,Atuona,PF,-9.8,-139.0333,77.68,80,27,17.56,light rain
8,Sitka,US,57.0531,-135.33,51.69,71,100,10.36,overcast clouds
9,Cape Town,ZA,-33.9258,18.4232,62.38,86,0,2.3,clear sky
10,Loreto,MX,22.2667,-101.9667,86.41,10,1,3.67,clear sky
11,Giresun,TR,40.5,38.5,37.22,90,71,3.51,broken clouds
12,Jamestown,US,42.097,-79.2353,55.53,90,100,12.66,overcast clouds
13,Butaritari,KI,3.0707,172.7902,81.97,78,65,11.34,broken clouds
14,Bilma,NE,18.6853,12.9164,86.95,11,87,4.5,overcast clouds
15,Camana,PE,-16.6228,-72.7111,65.43,84,79,9.55,broken clouds
16,Marienburg,PL,54.0359,19.0266,45.88,95,15,5.53,few clouds
17,Jurm,AF,36.8648,70.8342,46.02,85,100,0.76,overcast clouds
18,Roma,US,43.2128,-75.4557,66.51,87,75,14.97,broken clouds
19,Porto Seguro,BR,-16.4497,-39.0647,68.52,83,75,5.75,broken clouds
20,Alghero,IT,40.5589,8.3181,60.89,82,0,2.3,clear sky
21,Tiksi,RU,71.6872,128.8694,28.47,91,71,4.52,broken clouds
22,Hilo,US,19.7297,-155.09,87.28,48,0,11.01,clear sky
23,Ushuaia,AR,-54.8,-68.3,33.46,80,0,5.75,clear sky
24,Barrow,US,71.2906,-156.7887,24.82,80,100,8.05,mist
25,Punta Arenas,CL,-53.15,-70.9167,37.51,75,75,12.66,broken clouds
26,Avarua,CK,-21.2078,-159.775,82.45,83,75,11.5,broken clouds
27,Athens,GR,37.9795,23.7162,74.37,45,20,3.0,few clouds
28,Castro,BR,-24.7911,-50.0119,49.66,80,1,3.2,clear sky
29,Tupiza,BO,-21.45,-65.7167,54.23,9,0,7.29,clear sky
30,Bluff,NZ,-46.6,168.3333,51.51,72,100,27.74,overcast clouds
31,Tasiilaq,GL,65.6145,-37.6368,37.56,98,100,11.14,moderate rain
32,Geraldton,AU,-28.7667,114.6,66.61,63,75,14.97,broken clouds
33,Vanimo,PG,-2.6741,141.3028,80.01,83,91,4.74,overcast clouds
34,Sur,OM,22.5667,59.5289,91.81,42,0,15.97,clear sky
35,Khatanga,RU,71.9667,102.5,31.87,92,100,6.35,overcast clouds
36,Hithadhoo,MV,-0.6,73.0833,83.88,70,97,13.91,overcast clouds
37,East London,ZA,-33.0153,27.9116,59.61,85,2,4.81,clear sky
38,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,86,75,16.11,broken clouds
39,Necochea,AR,-38.5473,-58.7368,53.26,56,100,9.62,overcast clouds
40,Norman Wells,CA,65.282,-126.8329,48.24,43,75,5.75,broken clouds
41,Alenquer,BR,-1.9417,-54.7383,76.57,89,56,2.1,broken clouds
42,Bumbuna,SL,9.05,-11.7333,74.5,97,96,3.29,overcast clouds
43,Ayan,RU,56.45,138.1667,32.99,89,96,8.39,overcast clouds
44,Yellowknife,CA,62.456,-114.3525,37.92,65,100,9.22,light snow
45,Kapaa,US,22.0752,-159.319,80.58,78,20,11.5,few clouds
46,Hun,LY,29.1268,15.9477,75.7,11,0,8.01,clear sky
47,Rutland,US,43.6167,-73.0162,80.58,65,0,6.91,clear sky
48,Thompson,CA,55.7435,-97.8558,64.56,22,100,16.11,overcast clouds
49,Port Hawkesbury,CA,45.6169,-61.3485,66.96,94,100,5.75,overcast clouds
50,Dikson,RU,73.5069,80.5464,22.3,90,69,8.16,broken clouds
51,Marsa Matruh,EG,31.3525,27.2453,64.6,77,0,9.22,clear sky
52,Codrington,AU,-38.2667,141.9667,43.61,89,1,7.16,clear sky
53,Sorrento,IT,40.626,14.3744,67.37,93,20,1.01,few clouds
54,Portland,US,45.5234,-122.6762,75.94,33,100,8.05,overcast clouds
55,Qaanaaq,GL,77.484,-69.3632,27.01,73,100,4.7,overcast clouds
56,Bredasdorp,ZA,-34.5322,20.0403,55.33,90,77,4.54,broken clouds
57,Sioux Lookout,CA,50.1001,-91.917,57.27,26,40,10.36,scattered clouds
58,Albany,US,42.6001,-73.9662,72.01,88,96,3.0,moderate rain
59,Isangel,VU,-19.55,169.2667,82.51,83,20,2.3,few clouds
60,New Norfolk,AU,-42.7826,147.0587,46.92,85,66,1.92,broken clouds
61,Rockport,US,28.0206,-97.0544,86.02,73,0,11.5,clear sky
62,Pampas,PE,-12.4,-74.9,56.05,73,80,6.78,broken clouds
63,Georgetown,MY,5.4112,100.3354,80.53,93,20,2.3,few clouds
64,Hermanus,ZA,-34.4187,19.2345,59.7,82,86,6.42,overcast clouds
65,Saint George,US,37.1041,-113.5841,87.64,10,0,14.97,clear sky
66,Broome,US,42.2506,-75.833,62.98,90,100,16.11,overcast clouds
67,Lasa,IT,46.6166,10.7002,63.48,89,100,2.91,overcast clouds
68,Saskylakh,RU,71.9167,114.0833,32.0,95,100,8.43,overcast clouds
69,Caruaru,BR,-8.2833,-35.9761,67.32,92,32,11.32,scattered clouds
70,Portarlington,IE,53.1622,-7.1911,52.2,85,71,3.0,broken clouds
71,Namibe,AO,-15.1961,12.1522,68.31,76,0,4.34,clear sky
72,Rikitea,PF,-23.1203,-134.9692,75.54,78,11,14.29,light rain
73,Conceicao Da Barra,BR,-18.5933,-39.7322,69.22,73,18,4.79,few clouds
74,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,74,100,11.5,overcast clouds
75,Severnyy,RU,50.677,36.5532,42.84,93,0,6.71,clear sky
76,Valparaiso,CL,-33.0393,-71.6273,61.03,56,0,9.22,clear sky
77,Lebu,CL,-37.6167,-73.65,51.33,81,100,8.75,overcast clouds
78,Vardo,NO,70.3705,31.1107,37.38,93,100,16.11,overcast clouds
79,Ilulissat,GL,69.2167,-51.1,35.62,87,100,0.0,overcast clouds
80,Mataura,NZ,-46.1927,168.8643,44.69,85,92,7.4,overcast clouds
81,Kavieng,PG,-2.5744,150.7967,84.27,65,12,16.93,few clouds
82,Kluang,MY,2.0251,103.3328,75.22,93,94,3.06,overcast clouds
83,Hobart,AU,-42.8794,147.3294,47.26,92,75,9.22,broken clouds
84,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,20,5.75,few clouds
85,Airai,TL,-8.9266,125.4092,58.91,91,50,3.67,scattered clouds
86,San Cristobal,VE,7.7669,-72.225,78.98,50,1,5.08,clear sky
87,Oktyabrskiy,RU,54.4815,53.471,38.14,87,95,1.25,overcast clouds
88,Mahebourg,MU,-20.4081,57.7,73.69,78,20,5.75,few clouds
89,Saint-Philippe,RE,-21.3585,55.7679,67.59,73,40,10.69,scattered clouds
90,Ancud,CL,-41.8697,-73.8203,47.57,72,17,15.57,light rain
91,Matasari,RO,44.85,23.0833,53.67,67,33,2.91,scattered clouds
92,Salalah,OM,17.0151,54.0924,84.29,74,75,5.75,broken clouds
93,Porirua,NZ,-41.1333,174.85,57.54,78,45,11.45,scattered clouds
94,Najran,SA,17.4924,44.1277,77.65,13,0,3.04,clear sky
95,Sidi Ali,DZ,36.0998,0.4206,69.51,67,87,7.63,overcast clouds
96,Masterton,NZ,-40.9597,175.6575,56.88,81,97,3.94,overcast clouds
97,College,US,64.8569,-147.8028,69.28,24,40,11.5,scattered clouds
98,Upernavik,GL,72.7868,-56.1549,31.82,91,100,20.09,overcast clouds
99,Porbandar,IN,21.6422,69.6093,83.52,75,90,20.07,overcast clouds
100,Rio Gallegos,AR,-51.6226,-69.2181,35.65,75,0,4.61,clear sky
101,Lompoc,US,34.6391,-120.4579,78.69,72,0,23.0,clear sky
102,Kyzyl-Suu,KG,42.3414,78.0056,45.97,95,100,3.71,overcast clouds
103,Pucallpa,PE,-8.3791,-74.5539,86.04,62,20,5.75,few clouds
104,Kangalassy,RU,62.3464,129.9628,44.53,62,23,4.65,few clouds
105,San Francisco Del Mar,MX,16.2333,-94.65,84.69,67,0,11.83,clear sky
106,Alofi,NU,-19.0595,-169.9187,82.29,78,9,6.91,clear sky
107,Vila Velha,BR,-20.3297,-40.2925,71.55,78,75,2.3,broken clouds
108,Clyde River,CA,70.4692,-68.5914,19.63,93,100,28.77,light snow
109,Cayenne,GF,4.9333,-52.3333,82.09,1,20,1.99,few clouds
110,Mount Isa,AU,-20.7333,139.5,65.97,68,1,8.05,clear sky
111,San Patricio,US,28.017,-97.5169,85.86,58,100,12.19,overcast clouds
112,Sarab,IR,38.6066,44.9883,65.61,44,98,3.4,overcast clouds
113,Naliya,IN,23.2667,68.8333,83.1,76,92,22.79,overcast clouds
114,Vaini,TO,-21.2,-175.2,80.76,83,20,9.22,few clouds
115,Tuatapere,NZ,-46.1333,167.6833,46.42,80,62,7.85,broken clouds
116,Richards Bay,ZA,-28.783,32.0377,62.13,89,100,17.58,moderate rain
117,Seoul,KR,37.5683,126.9778,64.0,82,75,5.75,mist
118,Guerrero Negro,MX,27.9769,-114.0611,68.04,56,0,17.09,clear sky
119,Sfantu Gheorghe,RO,45.8667,25.7833,57.92,75,48,3.85,scattered clouds
120,Hyeres,FR,43.1167,6.1167,68.67,94,53,3.44,broken clouds
121,Monywa,MM,22.1167,95.1333,86.47,61,53,10.71,broken clouds
122,Severo-Kurilsk,RU,50.6789,156.125,40.82,97,100,16.75,light rain
123,Saint-Georges,GD,12.0564,-61.7485,82.08,74,40,16.11,scattered clouds
124,Piranshahr,IR,36.701,45.1413,58.26,43,59,3.65,broken clouds
125,Marawi,PH,7.9986,124.2928,70.16,91,99,2.35,overcast clouds
126,Nayoro,JP,44.3506,142.4578,57.88,87,98,2.28,overcast clouds
127,Talnakh,RU,69.4865,88.3972,33.21,100,100,5.19,overcast clouds
128,Ales,FR,44.1333,4.0833,68.7,86,99,0.94,overcast clouds
129,Biak,ID,-0.9131,122.8766,75.78,83,93,5.48,overcast clouds
130,Hasaki,JP,35.7333,140.8333,63.28,85,100,12.66,overcast clouds
131,Adrar,MR,20.5022,-10.0711,91.67,12,78,7.05,broken clouds
132,Kirkwall,GB,58.9848,-2.9587,51.85,93,40,2.3,mist
133,Zhuhai,CN,22.2769,113.5678,75.85,94,40,16.11,scattered clouds
134,Bathsheba,BB,13.2167,-59.5167,83.01,74,20,18.41,few clouds
135,Road Town,VG,18.4167,-64.6167,82.49,78,40,6.91,scattered clouds
136,Am Timan,TD,11.0297,20.2827,90.97,28,68,3.15,broken clouds
137,Puerto Ayora,EC,-0.7393,-90.3518,76.96,80,53,9.93,broken clouds
138,Port Alfred,ZA,-33.5906,26.891,59.95,81,45,5.61,scattered clouds
139,Elblag,PL,54.1522,19.4088,45.97,95,45,6.38,scattered clouds
140,Manakara,MG,-22.1333,48.0167,66.38,94,16,3.42,few clouds
141,Husavik,IS,66.0449,-17.3389,37.83,94,100,8.59,overcast clouds
142,Anadyr,RU,64.75,177.4833,52.3,62,0,8.95,clear sky
143,Sibolga,ID,1.7427,98.7792,76.82,86,100,2.84,overcast clouds
144,Ixtapa,MX,20.7,-105.2,79.83,69,0,12.66,clear sky
145,Iqaluit,CA,63.7506,-68.5145,26.33,86,100,21.85,light snow
146,Camalu,MX,30.85,-116.0667,66.34,56,0,11.72,clear sky
147,Utkivka,UA,49.7858,36.0753,47.46,91,89,8.05,overcast clouds
148,Riyadh,SA,24.6877,46.7219,86.14,9,0,6.4,clear sky
149,Margate,GB,51.3813,1.3862,57.69,80,100,3.0,overcast clouds
150,Shelburne,CA,44.0787,-80.2041,55.76,74,91,14.72,overcast clouds
151,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.23,82,29,13.47,scattered clouds
152,Chuy,UY,-33.6971,-53.4616,54.55,77,71,5.95,broken clouds
