City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Rikitea,PF,76.44,light rain,-23.1203,-134.9692,People ThankYou
9,Matamoros,MX,87.55,broken clouds,25.5333,-103.25,Quinta Belem
11,Cabo San Lucas,MX,76.6,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
14,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
18,Arlit,NE,83.44,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
26,Kavaratti,IN,83.57,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
30,Bridgetown,BB,81.09,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
31,Victoria,HK,80.96,overcast clouds,22.2855,114.1577,Mini Central
33,Kirakira,SB,83.19,few clouds,-10.4544,161.9205,SanBiz Lodge
34,Atuona,PF,78.13,broken clouds,-9.8,-139.0333,Villa Enata
35,Faanui,PF,79.75,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
39,Beeville,US,79.29,clear sky,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
40,Muncar,ID,83.95,overcast clouds,-8.4333,114.3333,Zaky Homestay
45,Le Vauclin,MQ,80.65,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
47,Avarua,CK,78.13,light rain,-21.2078,-159.775,Paradise Inn
49,La Asuncion,VE,80.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
53,Ocos,GT,84.65,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
56,Chor,PK,89.22,clear sky,25.5167,69.7667,Asad U Bajeer Hotel
66,Jammalamadugu,IN,85.1,light rain,14.8333,78.4,R and B Guest House
68,Calabozo,VE,79.27,overcast clouds,8.9242,-67.4293,Hotel Giardini
69,San Pedro,PH,89.31,overcast clouds,14.35,121.0167,Esquivel's Garden And Resort
73,Butaritari,KI,81.86,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
76,Amahai,ID,83.95,broken clouds,-3.3333,128.9167,HOTEL ISABELA
80,Estelle,US,82.0,overcast clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
83,Naifaru,MV,82.67,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
86,Lunglei,IN,83.01,few clouds,22.8833,92.7333,Hotel Elite
107,Auki,SB,82.58,scattered clouds,-8.7676,160.7034,Auki Motel
110,Bengkulu,ID,83.77,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
117,San Policarpo,PH,83.39,overcast clouds,12.1791,125.5072,Agapita M. Nicart
118,Wanning,CN,83.34,few clouds,18.8003,110.3967,Paradise Hotel
121,Sakakah,SA,77.34,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
122,Ahuimanu,US,77.36,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
123,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
125,Kinablangan,PH,83.34,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
