City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Luderitz,NA,-26.6481,15.1594,58.41,92,56,9.73,broken clouds
1,Kapaa,US,22.0752,-159.319,73.38,97,100,16.11,mist
2,Sumy,UA,50.9216,34.8003,42.64,94,47,7.45,scattered clouds
3,Lavrentiya,RU,65.5833,-171.0,33.84,99,89,4.97,overcast clouds
4,Madaoua,NE,14.073,5.96,81.39,13,0,6.17,clear sky
5,Busselton,AU,-33.65,115.3333,66.43,73,68,11.03,broken clouds
6,Punta Arenas,CL,-53.15,-70.9167,39.31,93,0,5.75,clear sky
7,Rikitea,PF,-23.1203,-134.9692,76.44,79,100,12.41,light rain
8,Torrington,US,41.8007,-73.1212,59.79,62,100,1.36,overcast clouds
9,Matamoros,MX,25.5333,-103.25,87.55,13,65,4.76,broken clouds
10,Pizhma,RU,57.8642,47.1171,40.01,71,100,2.86,overcast clouds
11,Cabo San Lucas,MX,22.8909,-109.9124,76.6,75,100,8.99,overcast clouds
12,Mataura,NZ,-46.1927,168.8643,52.48,61,15,11.59,few clouds
13,Bethel,US,41.3712,-73.414,60.21,68,100,1.74,overcast clouds
14,Vaini,TO,-21.2,-175.2,80.76,74,75,8.05,broken clouds
15,Albany,US,42.6001,-73.9662,56.57,63,100,1.01,overcast clouds
16,Pevek,RU,69.7008,170.3133,32.16,99,100,2.66,light snow
17,Hearst,CA,49.6835,-83.6665,53.85,91,100,5.39,overcast clouds
18,Arlit,NE,18.7369,7.3853,83.44,16,0,7.61,clear sky
19,Narsaq,GL,60.9167,-46.05,35.19,82,17,2.64,few clouds
20,Port Alfred,ZA,-33.5906,26.891,63.18,82,65,1.01,broken clouds
21,Namibe,AO,-15.1961,12.1522,68.86,74,0,8.41,clear sky
22,Clyde River,CA,70.4692,-68.5914,25.03,93,75,6.91,broken clouds
23,Menongue,AO,-14.6585,17.691,51.15,63,0,3.06,clear sky
24,Imeni Poliny Osipenko,RU,52.4201,136.4853,35.82,98,100,12.44,light rain
25,Belgrade,RS,44.804,20.4651,46.33,73,0,5.75,clear sky
26,Kavaratti,IN,10.5669,72.642,83.57,78,100,16.08,moderate rain
27,Zhenlai,CN,45.8495,123.2973,77.7,27,31,12.39,scattered clouds
28,Ushuaia,AR,-54.8,-68.3,42.46,75,75,0.0,broken clouds
29,Lebu,CL,-37.6167,-73.65,51.91,86,100,16.02,moderate rain
30,Bridgetown,BB,13.1,-59.6167,81.09,83,40,14.97,scattered clouds
31,Victoria,HK,22.2855,114.1577,80.96,56,99,5.99,overcast clouds
